,제품코드,제품명,1회 제공량(kcal),포화지방(g),단백질(g),지방(g),트랜스지방(g),나트륨(mg),당류(g),카페인(mg),콜레스테롤(mg),탄수화물(g)
0,9200000002487,나이트로 바닐라 크림,80,2,1,2.7,0,40,10,232,5,10
1,9200000000479,나이트로 콜드 브루,5,0,0,0,0,5,0,245,0,0
2,9200000002081,돌체 콜드 브루,220,6,6,10,0,80,22,155,20,24
3,9200000002407,리저브 나이트로,5,0,0,0,0,0,0,190,0,0
4,9200000002093,리저브 콜드 브루,5,0,0,0,0,0,0,190,0,0
5,9200000005282,막걸리향 크림 콜드 브루,300,13,3,16,0,65,32,53,10,35
6,9200000004312,민트 콜드 브루,100,0,0,0,0,0,23,415,0,24
7,9200000000487,바닐라 크림 콜드 브루,125,6,3,8,0,58,11,155,10,11
8,9200000005991,베르가못 콜드 브루,125,1.7,3,2.9,0,45,22,90,10,22
9,9200000006301,블랙&화이트 콜드 브루,175,12,1,14,0,70,12,190,5,12
10,9200000006056,스모크드 콜드 패션드,30,0,0,0,0,0,6,135,0,5
11,9200000003661,시그니처 더 블랙 콜드 브루,25,0,0,0,0,50,0,680,0,0
12,9200000004750,여수 윤슬 헤이즐넛 콜드브루,240,9,5,12,0,80,27,53,15,28
13,9200000003285,오트 콜드 브루,120,0.3,1,3.6,0,95,14,65,0,20
14,9200000005616,제주 비자림 리저브 콜드 브루,205,4.1,8,7,0,100,26,250,20,28
15,9200000000038,콜드 브루,5,0,0,0,0,11,0,155,0,0
16,9200000004770,콜드 브루,5,0,0,0,0,25,0,360,0,0
17,9200000001636,콜드 브루 몰트,505,20,7,30,0,150,41,190,40,51
18,9200000001635,콜드 브루 플로트,225,10,3,15,0,70,18,190,20,21
19,2,브루드 커피 ,5,0,0,0,0,15,0,260,0,0
20,106509,아이스 브루드 커피,5,0,0,0,0,10,0,140,0,0
21,9200000006655,리저브 아이스 프렌즈 시나몬 돌체폼 카푸치노,230,6,6,9,0,95,26,210,20,31
22,9200000006654,리저브 프렌즈 시나몬 돌체폼 카푸치노,265,7,8,11,0,120,29,210,25,33
23,9200000006619,아이스 프렌즈 시나몬 돌체폼 카푸치노,230,6,6,9,0,95,26,75,20,31
24,9200000006616,프렌즈 시나몬 돌체폼 카푸치노,265,7,8,11,0,120,29,75,25,33
25,9200000003252,더블 에스프레소 크림 라떼,240,8,8,12,0,120,24,90,25,25
26,9200000003255,아이스 더블 에스프레소 크림 라떼,190,7,5,9,0,85,20,90,15,21
27,30,에스프레소 콘 파나,30,2,1,2.4,0,5,0,75,0,1
28,25,에스프레소 마키아또,10,0,0,0,0,0,0,75,0,1
29,9200000005514,스타벅스 1호점 카페 아메리카노,10,0,1,0,0,0,0,210,0,2
30,9200000005516,아이스 스타벅스 1호점 카페 아메리카노,10,0,1,0,0,0,0,210,0,2
31,110563,아이스 카페 아메리카노,10,0,1,0,0,5,0,150,0,2
32,94,카페 아메리카노,10,0,1,0,0,5,0,150,0,2
33,110582,아이스 카라멜 마키아또,190,4.6,6,8,0,110,22,75,20,23
34,126197,카라멜 마키아또,200,5,8,9,0,130,22,75,25,24
35,110601,아이스 카푸치노,110,3.5,6,6,0,90,9,75,20,10
36,38,카푸치노,110,3,6,6,0,70,8,75,15,9
37,9200000004119,라벤더 카페 브레베,400,22,8,27,0,140,30,105,25,31
38,9200000006235,밀크카라멜 라떼,310,13,8,17,0,280,22,75,25,31
39,9200000006343,바닐라 라떼,210,5,8,9,0,130,24,75,25,25
40,9200000001939,바닐라 빈 라떼,245,6,9,9,0,150,27,210,30,29
41,9200000006054,번트 카라멜 라떼,380,13,12,20,0,250,30,210,35,37
42,9200000002095,사케라또 비안코 오버 아이스,270,18,3,21,0,45,14,315,10,17
43,9200000005518,스타벅스 1호점 카페 라떼,200,6,10,10,0,150,15,210,30,17
